"","average","sd","ratio","ava","avb","cumsum","contrib","Domain","Phylum","Class","Order","Family","Genus","Species"
"5a2b55052c2a58258630237ee8788923",0.000174980911173327,0.00031094923908835,0.562731433871138,0,5.5,0.952718736575087,0.000562567763844224,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"ff07c23372bce6dfd729af5aff5a566c",0.000173390175617205,0.00028669961523997,0.604779938306078,0.4,5.25,0.953276190086533,0.00055745351144576,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","unclassified","unclassified","unclassified"
"81b8512ad01a544a5c6424a7c659ac20",0.000171799440061084,0.000162026680035992,1.06031574567177,5.4,0,0.95382852934558,0.000552339259047074,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"6a9f3c9327dd7d08ef8504128be3b722",0.000171799440061084,0.000153933652030873,1.11606161352313,5.4,0,0.954380868604627,0.000552339259047074,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Clostridiales vadinBB60 group","unclassified","unclassified"
"ed649ad8e63705d2eb4b1e0f8212fda0",0.000171799440061084,0.000352525012806047,0.487339717240448,5.4,0,0.954933207863675,0.000552339259047185,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-014","unclassified"
"8c7f8bc6d33b5606c20a35f32f7042d3",0.000168617968948842,0.000231061922739292,0.729752297348855,3.8,2.5,0.955475318617924,0.000542110754249925,"D_0__Bacteria","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF9","unclassified","unclassified","unclassified"
"a69c0a328e1b282389062478c5d49c3a",0.000162255026724357,5.15069525309068e-05,3.15015777000194,16,13.5,0.95599697236258,0.000521653744655626,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Bacteroidales S24-7 group","D_5__uncultured bacterium","D_6__"
"ee84f17a4e398c4af09778df0c309c86",0.000162255026724357,0.000154451890458023,1.05052146816199,2,5,0.956518626107236,0.000521653744655515,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Peptococcaceae","D_5__uncultured","unclassified"
"426bdeb9fe002826d89a022278a5c29f",0.000159073555612115,0.000282681126443955,0.562731433871138,0,5,0.957030051347094,0.000511425239858476,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium"
"b580caa026a83531530a7a91885e4cff",0.000159073555612115,0.000282681126443955,0.562731433871138,0,5,0.957541476586953,0.000511425239858476,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Coprococcus 1","D_6__uncultured bacterium"
"bffd79a65e1cd0c98d984f7df8f1ed09",0.000159073555612115,0.000326412048894488,0.487339717240448,5,0,0.958052901826811,0.000511425239858365,"D_0__Bacteria","D_1__Firmicutes","D_2__Negativicutes","D_3__Selenomonadales","D_4__Veillonellaceae","D_5__Megasphaera","D_6__uncultured bacterium"
"25e41c928b88ee8a8d8a6fab512d8c97",0.000159073555612115,0.000169608675866373,0.937885723118563,0,5,0.958564327066669,0.000511425239858476,"D_0__Bacteria","D_1__Firmicutes","D_2__Erysipelotrichia","D_3__Erysipelotrichales","D_4__Erysipelotrichaceae","D_5__Faecalibaculum","D_6__uncultured bacterium"
